date,diesel_tgp
2004-01-01,87.5
2004-01-02,87.5
2004-01-05,87.5
2004-01-06,87.6
2004-01-07,87.6
2004-01-08,87.6
2004-01-09,87.7
2004-01-12,87.7
2004-01-13,88.2
2004-01-14,88.2
2004-01-15,88.2
2004-01-16,88.8
2004-01-19,88.8
2004-01-20,89.1
2004-01-21,89.1
2004-01-22,89.1
2004-01-23,89.7
2004-01-26,89.7
2004-01-27,89.7
2004-01-28,89.8
2004-01-29,89.8
2004-01-30,89.7
2004-02-02,89.7
2004-02-03,89.0
2004-02-04,89.0
2004-02-05,89.0
2004-02-06,88.2
2004-02-09,88.2
2004-02-10,87.7
2004-02-11,87.7
2004-02-12,87.7
2004-02-13,87.1
2004-02-16,87.1
2004-02-17,87.0
2004-02-18,87.0
2004-02-19,87.0
2004-02-20,86.9
2004-02-23,86.9
2004-02-24,87.1
2004-02-25,87.1
2004-02-26,87.1
2004-02-27,87.5
2004-03-01,87.5
2004-03-02,87.7
2004-03-03,87.7
2004-03-04,87.7
2004-03-05,87.8
2004-03-08,87.8
2004-03-09,87.8
2004-03-10,88.0
2004-03-11,88.0
2004-03-12,88.0
2004-03-15,88.0
2004-03-16,88.2
2004-03-17,88.2
2004-03-18,88.2
2004-03-19,88.3
2004-03-22,88.3
2004-03-23,88.6
2004-03-24,88.6
2004-03-25,88.6
2004-03-26,88.4
2004-03-29,88.4
2004-03-30,88.3
2004-03-31,88.3
2004-04-01,88.3
2004-04-02,88.2
2004-04-05,88.2
2004-04-06,88.0
2004-04-07,88.0
2004-04-08,88.0
2004-04-09,88.1
2004-04-12,88.1
2004-04-13,88.1
2004-04-14,88.1
2004-04-15,90.3
2004-04-16,90.3
2004-04-19,90.3
2004-04-20,93.5
2004-04-21,93.5
2004-04-22,93.5
2004-04-23,94.2
2004-04-26,94.2
2004-04-27,94.2
2004-04-28,93.2
2004-04-29,93.2
2004-04-30,92.0
2004-05-03,92.0
2004-05-04,92.5
2004-05-05,92.5
2004-05-06,92.5
2004-05-07,93.9
2004-05-10,93.9
2004-05-11,94.9
2004-05-12,94.9
2004-05-13,94.9
2004-05-14,96.0
2004-05-17,96.0
2004-05-18,96.8
2004-05-19,96.8
2004-05-20,96.8
2004-05-21,97.6
2004-05-24,97.6
2004-05-25,97.3
2004-05-26,97.3
2004-05-27,97.3
2004-05-28,96.3
2004-05-31,96.3
2004-06-01,95.3
2004-06-02,95.3
2004-06-03,95.3
2004-06-04,94.9
2004-06-07,94.9
2004-06-08,94.9
2004-06-09,94.9
2004-06-10,94.9
2004-06-11,94.8
2004-06-14,94.8
2004-06-15,94.8
2004-06-16,94.6
2004-06-17,94.6
2004-06-18,94.5
2004-06-21,94.5
2004-06-22,95.1
2004-06-23,95.1
2004-06-24,95.1
2004-06-25,95.3
2004-06-28,95.3
2004-06-29,95.5
2004-06-30,95.5
2004-07-01,95.3
2004-07-02,94.5
2004-07-05,94.5
2004-07-06,94.2
2004-07-07,94.2
2004-07-08,94.2
2004-07-09,94.8
2004-07-12,94.9
2004-07-13,95.7
2004-07-14,95.7
2004-07-15,95.7
2004-07-16,95.8
2004-07-19,95.8
2004-07-20,95.6
2004-07-21,95.6
2004-07-22,95.6
2004-07-23,95.8
2004-07-26,95.8
2004-07-27,96.8
2004-07-28,96.9
2004-07-29,96.9
2004-07-30,98.5
2004-08-02,98.6
2004-08-03,99.7
2004-08-04,99.7
2004-08-05,99.8
2004-08-06,100.6
2004-08-09,100.6
2004-08-10,101.2
2004-08-11,101.2
2004-08-12,101.3
2004-08-13,101.6
2004-08-16,101.6
2004-08-17,101.6
2004-08-18,101.6
2004-08-19,101.6
2004-08-20,102.0
2004-08-23,102.0
2004-08-24,102.8
2004-08-25,102.8
2004-08-26,102.9
2004-08-27,103.7
2004-08-30,103.7
2004-08-31,103.5
2004-09-01,103.5
2004-09-02,103.5
2004-09-03,102.2
2004-09-06,102.2
2004-09-07,102.1
2004-09-08,102.2
2004-09-09,102.2
2004-09-10,103.0
2004-09-13,103.0
2004-09-14,104.4
2004-09-15,104.4
2004-09-16,104.4
2004-09-17,105.3
2004-09-20,105.3
2004-09-21,105.6
2004-09-22,105.7
2004-09-23,105.6
2004-09-24,106.1
2004-09-27,106.1
2004-09-28,106.4
2004-09-29,106.4
2004-09-30,106.4
2004-10-01,107.0
2004-10-04,107.1
2004-10-05,106.9
2004-10-06,106.9
2004-10-07,106.9
2004-10-08,106.0
2004-10-11,106.0
2004-10-12,105.3
2004-10-13,105.3
2004-10-14,105.4
2004-10-15,106.3
2004-10-18,106.4
2004-10-19,108.0
2004-10-20,108.0
2004-10-21,108.0
2004-10-22,109.4
2004-10-25,109.5
2004-10-26,109.8
2004-10-27,109.8
2004-10-28,109.8
2004-10-29,109.5
2004-11-01,109.5
2004-11-02,109.2
2004-11-03,109.2
2004-11-04,109.1
2004-11-05,107.4
2004-11-08,107.4
2004-11-09,106.4
2004-11-10,106.4
2004-11-11,106.4
2004-11-12,105.6
2004-11-15,105.6
2004-11-16,105.4
2004-11-17,105.3
2004-11-18,105.3
2004-11-19,104.1
2004-11-22,104.1
2004-11-23,103.3
2004-11-24,103.3
2004-11-25,103.3
2004-11-26,103.2
2004-11-29,103.2
2004-11-30,103.4
2004-12-01,103.4
2004-12-02,103.4
2004-12-03,103.1
2004-12-06,103.1
2004-12-07,102.0
2004-12-08,101.9
2004-12-09,101.9
2004-12-10,99.3
2004-12-13,99.3
2004-12-14,98.1
2004-12-15,98.1
2004-12-16,98.1
2004-12-17,98.5
2004-12-20,98.6
2004-12-21,100.0
2004-12-22,100.1
2004-12-23,100.1
2004-12-24,101.5
2004-12-27,101.5
2004-12-28,101.5
2004-12-29,101.5
2004-12-30,101.1
2004-12-31,99.8
2005-01-03,99.8
2005-01-04,99.8
2005-01-05,97.9
2005-01-06,97.8
2005-01-07,97.1
2005-01-10,97.0
2005-01-11,97.1
2005-01-12,97.1
2005-01-13,97.2
2005-01-14,98.3
2005-01-17,98.3
2005-01-18,98.8
2005-01-19,98.8
2005-01-20,98.8
2005-01-21,99.3
2005-01-24,99.4
2005-01-25,99.2
2005-01-26,99.2
2005-01-27,99.2
2005-01-28,99.8
2005-01-31,100.0
2005-02-01,100.4
2005-02-02,100.4
2005-02-03,100.4
2005-02-04,100.7
2005-02-07,100.8
2005-02-08,100.4
2005-02-09,100.4
2005-02-10,100.3
2005-02-11,99.7
2005-02-14,99.7
2005-02-15,99.7
2005-02-16,99.7
2005-02-17,99.7
2005-02-18,99.4
2005-02-21,99.6
2005-02-22,99.9
2005-02-23,99.9
2005-02-24,100.0
2005-02-25,101.5
2005-02-28,101.7
2005-03-01,103.7
2005-03-02,103.8
2005-03-03,103.8
2005-03-04,107.1
2005-03-07,107.3
2005-03-08,109.4
2005-03-09,109.4
2005-03-10,109.4
2005-03-11,110.2
2005-03-14,110.3
2005-03-15,110.4
2005-03-16,110.4
2005-03-17,110.4
2005-03-18,110.5
2005-03-21,110.7
2005-03-22,111.7
2005-03-23,111.7
2005-03-24,111.7
2005-03-25,112.9
2005-03-28,113.0
2005-03-29,113.1
2005-03-30,112.9
2005-03-31,113.1
2005-04-01,113.4
2005-04-04,113.4
2005-04-05,114.2
2005-04-06,114.2
2005-04-07,114.2
2005-04-08,116.3
2005-04-11,116.3
2005-04-12,117.1
2005-04-13,117.1
2005-04-14,117.1
2005-04-15,115.8
2005-04-18,115.8
2005-04-19,114.1
2005-04-20,114.0
2005-04-21,114.0
2005-04-22,112.5
2005-04-25,112.5
2005-04-26,112.6
2005-04-27,112.3
2005-04-28,112.3
2005-04-29,112.2
2005-05-02,112.2
2005-05-03,112.1
2005-05-04,112.0
2005-05-05,112.0
2005-05-06,110.9
2005-05-09,111.0
2005-05-10,110.3
2005-05-11,110.3
2005-05-12,110.3
2005-05-13,109.8
2005-05-16,109.9
2005-05-17,109.4
2005-05-18,109.4
2005-05-19,109.4
2005-05-20,108.5
2005-05-23,108.4
2005-05-24,107.6
2005-05-25,107.6
2005-05-26,107.6
2005-05-27,108.0
2005-05-30,108.1
2005-05-31,108.8
2005-06-01,108.8
2005-06-02,108.8
2005-06-03,110.0
2005-06-06,110.0
2005-06-07,111.6
2005-06-08,111.6
2005-06-09,111.7
2005-06-10,113.7
2005-06-13,113.8
2005-06-14,113.8
2005-06-15,115.3
2005-06-16,115.4
2005-06-17,116.3
2005-06-20,116.4
2005-06-21,117.0
2005-06-22,117.0
2005-06-23,117.0
2005-06-24,117.4
2005-06-27,117.5
2005-06-28,117.0
2005-06-29,117.0
2005-06-30,117.0
2005-07-01,116.7
2005-07-04,116.8
2005-07-05,116.9
2005-07-06,117.0
2005-07-07,117.0
2005-07-08,118.9
2005-07-11,118.9
2005-07-12,121.0
2005-07-13,121.0
2005-07-14,121.0
2005-07-15,121.7
2005-07-18,121.7
2005-07-19,120.9
2005-07-20,120.9
2005-07-21,120.9
2005-07-22,118.5
2005-07-25,118.5
2005-07-26,116.7
2005-07-27,116.7
2005-07-28,116.7
2005-07-29,115.1
2005-08-01,115.1
2005-08-02,114.6
2005-08-03,114.6
2005-08-04,114.6
2005-08-05,115.1
2005-08-08,115.3
2005-08-09,115.1
2005-08-10,115.1
2005-08-11,115.1
2005-08-12,116.2
2005-08-15,116.2
2005-08-16,117.6
2005-08-17,117.6
2005-08-18,117.7
2005-08-19,119.5
2005-08-22,119.5
2005-08-23,120.2
2005-08-24,120.4
2005-08-25,120.4
2005-08-26,120.9
2005-08-29,121.2
2005-08-30,121.3
2005-08-31,121.4
2005-09-01,121.4
2005-09-02,123.8
2005-09-05,124.0
2005-09-06,125.9
2005-09-07,126.0
2005-09-08,126.2
2005-09-09,127.0
2005-09-12,127.0
2005-09-13,126.0
2005-09-14,125.9
2005-09-15,125.7
2005-09-16,124.0
2005-09-19,124.0
2005-09-20,123.6
2005-09-21,123.6
2005-09-22,123.6
2005-09-23,124.5
2005-09-26,124.6
2005-09-27,126.1
2005-09-28,126.1
2005-09-29,126.2
2005-09-30,127.6
2005-10-03,127.7
2005-10-04,128.7
2005-10-05,128.7
2005-10-06,128.7
2005-10-07,129.5
2005-10-10,129.5
2005-10-11,129.0
2005-10-12,128.9
2005-10-13,128.8
2005-10-14,127.9
2005-10-17,127.9
2005-10-18,127.6
2005-10-19,127.6
2005-10-20,127.5
2005-10-21,126.9
2005-10-24,126.8
2005-10-25,125.8
2005-10-26,125.3
2005-10-27,125.2
2005-10-28,123.2
2005-10-31,123.1
2005-11-01,122.3
2005-11-02,122.2
2005-11-03,122.1
2005-11-04,120.7
2005-11-07,120.4
2005-11-08,119.3
2005-11-09,119.0
2005-11-10,118.9
2005-11-11,117.4
2005-11-14,117.2
2005-11-15,116.6
2005-11-16,116.6
2005-11-17,116.5
2005-11-18,116.1
2005-11-21,116.1
2005-11-22,116.8
2005-11-23,116.9
2005-11-24,116.9
2005-11-25,117.1
2005-11-28,116.8
2005-11-29,116.3
2005-11-30,116.1
2005-12-01,115.7
2005-12-02,113.7
2005-12-05,113.5
2005-12-06,112.6
2005-12-07,112.6
