period_start,period_end,applicable_to,avg_tgp_cpl,levy_pct,days
2026-01-03,2026-01-09,10 Jan - 16 Jan 2026,157.99,29.24,5
2026-01-10,2026-01-16,17 Jan - 23 Jan 2026,157.30,28.99,5
2026-01-17,2026-01-23,24 Jan - 30 Jan 2026,160.53,30.20,5
2026-01-24,2026-01-30,31 Jan - 06 Feb 2026,162.13,30.80,5
2026-01-31,2026-02-06,07 Feb - 13 Feb 2026,163.38,31.27,5
2026-02-07,2026-02-13,14 Feb - 20 Feb 2026,164.25,31.59,5
2026-02-14,2026-02-20,21 Feb - 27 Feb 2026,163.44,31.29,5
2026-02-21,2026-02-27,28 Feb - 06 Mar 2026,165.09,31.91,5
2026-02-28,2026-03-06,07 Mar - 13 Mar 2026,173.04,34.89,5
2026-03-07,2026-03-13,14 Mar - 20 Mar 2026,228.45,55.67,5
2026-03-14,2026-03-20,21 Mar - 27 Mar 2026,272.24,72.09,5
